"Entity","Code","Year","Homicide rate per 100,000 population - Both Sexes - All ages","Homicide rate per 100,000 population - Both Sexes - Age 15-49","Homicide rate per 100,000 population - Both Sexes - Age 50-69","Homicide rate per 100,000 population - Both Sexes - Age 70+","Homicide rate per 100,000 population - Both Sexes - Age 0-4","Homicide rate per 100,000 population - Both Sexes - Age 5-14"
"Albania","ALB",1987,1.3827935,2.253489,1.6341827,0,0,0
"Albania","ALB",1988,1.5216026,2.3560123,1.3218457,2.700586,0,0.14589424
"Albania","ALB",1989,2.1242294,3.3456142,1.0280874,6.9922123,0,0
"Albania","ALB",1992,3.9816604,6.3083186,4.072656,4.7881637,0,0
"Albania","ALB",1993,5.8677473,8.58909,7.2921443,2.3288672,0.5401566,1.3075105
"Albania","ALB",1994,3.432685,5.5392785,2.778125,0.7564411,0,0.4353195
"Albania","ALB",1995,7.914533,11.92485,7.7598286,3.6859565,0.28325963,1.5970985
"Albania","ALB",1996,8.304799,12.725071,6.0792055,2.8696876,1.1643375,1.16597
"Albania","ALB",1997,40.709057,61.937252,29.979946,19.515732,2.4081516,7.343082
"Albania","ALB",1998,20.171633,30.337152,17.280527,6.759908,1.8814676,1.6339068
"Albania","ALB",1999,16.311594,24.958725,12.683398,8.507352,1.3146219,0.6030163
"Albania","ALB",2000,4.146851,5.902542,2.3185034,3.7971559,0,0.15346415
"Albania","ALB",2001,7.0400195,10.46402,6.8116236,6.1182284,1.102151,1.0979307
"Albania","ALB",2002,6.94465,10.360986,5.8630157,7.0954275,0.39018452,1.611201
"Albania","ALB",2003,5.361336,8.727293,3.7603657,2.2852964,2.0695877,0.16630384
"Albania","ALB",2004,4.247903,6.7454753,3.2899384,2.758438,0.43879473,0.517113
"Albania","ALB",2005,0,0,0,0,0,0
"Albania","ALB",2006,0,0,0,0,0,0
"Albania","ALB",2007,2.8916664,4.4259214,2.696377,1.473405,0,0.19615805
"Albania","ALB",2008,2.8472338,4.003542,2.6264367,3.2942107,0,0.41154295
"Albania","ALB",2009,0,0,0,0,0,0
"Albania","ALB",2010,2.2998152,3.6048758,1.8267237,0.8702804,0,0.22733007
"Antigua and Barbuda","ATG",1961,1.7801284,3.9586716,0,0,0,0
"Antigua and Barbuda","ATG",1962,0,0,0,0,0,0
"Antigua and Barbuda","ATG",1963,3.3999407,7.7724233,0,0,0,0
